,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
33,tensor(0.00121741),tensor(0.00370647),tensor(0.00134787),tensor(0.00127096),tensor(0.00404548),tensor(0.00497593),tensor(-0.00115549),tensor(-0.00205072),tensor(-0.00169921),tensor(-0.00131192),tensor(0.00158684),tensor(-0.00018347),tensor(-0.00221173),tensor(0.00137593),tensor(0.00138532),tensor(0.00163486),tensor(-0.00644278)
34,tensor(0.00014156),tensor(0.00085405),tensor(0.00197973),tensor(-0.00011682),tensor(0.00453459),tensor(0.00313387),tensor(0.00041818),tensor(0.00110428),tensor(0.00114299),tensor(0.00098679),tensor(-0.00181285),tensor(-0.00128777),tensor(0.00172617),tensor(-0.00167374),tensor(-0.00218062),tensor(-0.00153660),tensor(0.00306780)
35,tensor(0.00124712),tensor(0.00338130),tensor(0.00198737),tensor(0.00100166),tensor(0.00360015),tensor(0.00367080),tensor(-0.00104860),tensor(-0.00206562),tensor(-0.00164859),tensor(-0.00133228),tensor(6.40408252e-05),tensor(0.00082358),tensor(1.35211740e-05),tensor(0.00012194),tensor(0.00076564),tensor(0.00179527),tensor(0.01096327)
36,tensor(0.00057356),tensor(0.00162916),tensor(0.00192756),tensor(-0.00045033),tensor(-0.00019332),tensor(0.00045810),tensor(0.00029791),tensor(0.00112698),tensor(0.00102894),tensor(0.00095326),tensor(-0.00220473),tensor(-0.00025884),tensor(0.00178298),tensor(-0.00172202),tensor(-0.00160473),tensor(-0.00251294),tensor(-0.01791881)
37,tensor(0.00151913),tensor(0.00293682),tensor(0.00013088),tensor(0.00180837),tensor(0.00502866),tensor(0.00143735),tensor(-0.00129148),tensor(-0.00218555),tensor(-0.00166049),tensor(-0.00122234),tensor(0.00161592),tensor(0.00101412),tensor(-0.00129827),tensor(0.00133971),tensor(0.00152066),tensor(0.00311956),tensor(0.01448687)
38,tensor(-0.00026878),tensor(-0.00107327),tensor(-0.00091455),tensor(-0.00086682),tensor(-0.00071195),tensor(0.00122705),tensor(0.00066512),tensor(0.00094153),tensor(0.00025365),tensor(-0.00099376),tensor(-0.00191087),tensor(-0.00123933),tensor(0.00163110),tensor(-0.00163161),tensor(-0.00121845),tensor(-0.00136829),tensor(-0.00357712)
39,tensor(0.00053646),tensor(0.00138482),tensor(0.00156552),tensor(0.00029631),tensor(-0.00091049),tensor(0.00051319),tensor(-0.00068249),tensor(-0.00148432),tensor(-0.00105848),tensor(0.00019091),tensor(0.00168616),tensor(0.00073266),tensor(-0.00069599),tensor(-0.00104641),tensor(0.00049107),tensor(-0.00078344),tensor(-0.01023676)
40,tensor(0.00044720),tensor(0.00109344),tensor(0.00108808),tensor(0.00011332),tensor(0.00272938),tensor(-0.00208738),tensor(0.00015200),tensor(0.00058183),tensor(0.00041321),tensor(-0.00080614),tensor(-0.00191828),tensor(-8.57483064e-06),tensor(0.00281419),tensor(0.00017529),tensor(-0.00118914),tensor(0.00014438),tensor(0.00100196)
41,tensor(0.00036031),tensor(-0.00025927),tensor(-0.00075890),tensor(0.00148092),tensor(0.00213996),tensor(0.00149990),tensor(-0.00098949),tensor(-0.00186170),tensor(-0.00117534),tensor(0.00037406),tensor(0.00168307),tensor(0.00082309),tensor(-0.00056427),tensor(-0.00217808),tensor(0.00235267),tensor(0.00378973),tensor(0.01597265)
42,tensor(0.00034362),tensor(0.00021680),tensor(0.00113406),tensor(-0.00100932),tensor(1.98304278e-05),tensor(0.00107142),tensor(0.00072404),tensor(0.00159027),tensor(0.00084685),tensor(-0.00066390),tensor(-0.00175709),tensor(-1.53295969e-06),tensor(0.00303123),tensor(0.00074353),tensor(-0.00237314),tensor(-0.00343928),tensor(-0.01825012)
43,tensor(0.00155289),tensor(0.00216432),tensor(0.00025685),tensor(0.00048451),tensor(0.00395234),tensor(0.00054856),tensor(-0.00077388),tensor(-0.00126822),tensor(-0.00056738),tensor(0.00078424),tensor(0.00180811),tensor(0.00229998),tensor(0.00051628),tensor(0.00140734),tensor(0.00107116),tensor(0.00194171),tensor(0.00946462)
44,tensor(-6.07574111e-05),tensor(-0.00127492),tensor(-0.00115724),tensor(-0.00065200),tensor(-0.00348318),tensor(-0.00063722),tensor(0.00059671),tensor(0.00107741),tensor(0.00026257),tensor(-0.00086046),tensor(-0.00181370),tensor(-0.00051000),tensor(0.00216879),tensor(-0.00168038),tensor(-0.00245558),tensor(-0.00335915),tensor(-0.00824961)
45,tensor(0.00021287),tensor(-0.00114234),tensor(0.00058987),tensor(0.00083540),tensor(0.00214192),tensor(-0.00200902),tensor(-0.00052789),tensor(-0.00203997),tensor(-0.00186175),tensor(-0.00139717),tensor(0.00187918),tensor(0.00216675),tensor(0.00013675),tensor(-0.00115137),tensor(0.00163699),tensor(0.00237950),tensor(0.01561639)
46,tensor(0.00053354),tensor(0.00133209),tensor(-0.00072084),tensor(0.00026202),tensor(-0.00039186),tensor(0.00151167),tensor(-0.00055328),tensor(-0.00129069),tensor(-0.00098335),tensor(0.00068271),tensor(-0.00212011),tensor(-0.00173645),tensor(-0.00140452),tensor(0.00047479),tensor(-0.00217062),tensor(-0.00263115),tensor(-0.01149727)
47,tensor(0.00023036),tensor(0.00050097),tensor(-0.00048758),tensor(-0.00066524),tensor(0.00315732),tensor(0.00061652),tensor(0.00048744),tensor(0.00102943),tensor(0.00049647),tensor(-0.00070694),tensor(-0.00200339),tensor(-0.00013334),tensor(0.00308825),tensor(0.00146757),tensor(-0.00086005),tensor(-0.00023158),tensor(-0.00299586)
48,tensor(0.00013729),tensor(-0.00135211),tensor(-0.00040756),tensor(0.00064671),tensor(-0.00123515),tensor(-0.00135428),tensor(-0.00033091),tensor(0.00050934),tensor(0.00011829),tensor(-0.00081011),tensor(0.00190797),tensor(0.00102676),tensor(-0.00095148),tensor(-0.00147764),tensor(0.00025927),tensor(-0.00101346),tensor(0.00140019)
49,tensor(0.00098130),tensor(0.00159510),tensor(-0.00078825),tensor(0.00031211),tensor(0.00311643),tensor(0.00307627),tensor(-0.00039045),tensor(-0.00157666),tensor(-0.00134195),tensor(0.00035580),tensor(-0.00233369),tensor(-0.00097489),tensor(-0.00047369),tensor(-0.00236261),tensor(-0.00097468),tensor(0.00025486),tensor(0.00610092)
