,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
45,tensor(0.00096965),tensor(0.00237937),tensor(0.00302937),tensor(0.00053765),tensor(0.00130596),tensor(0.00140283),tensor(0.00173964),tensor(-0.00165156),tensor(-0.00131282),tensor(-0.00115963),tensor(-0.00076965),tensor(0.00211758),tensor(0.00011582),tensor(0.00154696),tensor(0.00054080),tensor(-0.00028775),tensor(-0.00496025)
46,tensor(0.00014939),tensor(-0.00154355),tensor(0.00208377),tensor(-0.00046024),tensor(4.85676501e-05),tensor(-0.00064721),tensor(-0.00205985),tensor(-0.00055075),tensor(-0.00066677),tensor(0.00048776),tensor(0.00037092),tensor(-0.00110660),tensor(-0.00116590),tensor(-0.00177636),tensor(-0.00202681),tensor(-0.00153747),tensor(0.00093335)
47,tensor(0.00090779),tensor(0.00219983),tensor(-0.00169178),tensor(0.00177917),tensor(-0.00071445),tensor(0.00162459),tensor(0.00199894),tensor(-4.96472094e-05),tensor(0.00030878),tensor(-0.00064477),tensor(-0.00084065),tensor(-0.00099054),tensor(0.00240300),tensor(0.00031253),tensor(0.00176528),tensor(0.00386812),tensor(0.01249468)
48,tensor(-0.00012715),tensor(-0.00019486),tensor(0.00291057),tensor(-0.00186157),tensor(-0.00068666),tensor(0.00067343),tensor(-0.00177031),tensor(0.00138079),tensor(0.00030336),tensor(-0.00085293),tensor(0.00099206),tensor(0.00233549),tensor(-0.00074665),tensor(-0.00180257),tensor(-0.00313879),tensor(-0.00489689),tensor(-0.01661251)
49,tensor(0.00044478),tensor(-0.00030685),tensor(0.00106673),tensor(0.00266791),tensor(0.00052716),tensor(-0.00210124),tensor(-0.00179928),tensor(-0.00274010),tensor(-0.00223625),tensor(0.00018163),tensor(-0.00149046),tensor(-0.00164729),tensor(-0.00055491),tensor(-0.00130035),tensor(0.00315057),tensor(0.00522038),tensor(0.01778547)
50,tensor(0.00035642),tensor(-1.72568361e-05),tensor(-0.00099150),tensor(-0.00187612),tensor(-0.00093895),tensor(0.00195638),tensor(0.00264166),tensor(0.00191521),tensor(0.00134754),tensor(-0.00052372),tensor(0.00072626),tensor(-9.07146459e-05),tensor(0.00249129),tensor(0.00210144),tensor(-0.00343805),tensor(-0.00518915),tensor(-0.00922478)
51,tensor(0.00046886),tensor(-0.00099326),tensor(0.00253110),tensor(0.00191306),tensor(0.00042187),tensor(-0.00165437),tensor(-0.00243130),tensor(-0.00171224),tensor(-0.00145817),tensor(-0.00109181),tensor(-0.00055731),tensor(0.00174242),tensor(-0.00058418),tensor(0.00032507),tensor(0.00184224),tensor(0.00399532),tensor(0.02095469)
52,tensor(0.00106022),tensor(0.00116000),tensor(-0.00084247),tensor(-0.00110174),tensor(-0.00094027),tensor(0.00196933),tensor(0.00197320),tensor(-0.00108490),tensor(-0.00084635),tensor(0.00070734),tensor(-0.00019304),tensor(-0.00101143),tensor(-7.89065016e-05),tensor(-0.00187994),tensor(-0.00287543),tensor(-0.00455211),tensor(-0.00922030)
53,tensor(-0.00033233),tensor(-0.00253469),tensor(0.00202614),tensor(7.81601630e-05),tensor(-9.34239943e-05),tensor(-0.00109926),tensor(-0.00186074),tensor(0.00147679),tensor(0.00074159),tensor(-0.00057527),tensor(0.00063518),tensor(0.00251408),tensor(0.00200783),tensor(0.00187931),tensor(7.96746317e-05),tensor(-0.00084590),tensor(0.00236799)
54,tensor(0.00079573),tensor(0.00121550),tensor(-0.00066437),tensor(-0.00025811),tensor(-0.00104138),tensor(0.00243615),tensor(0.00228009),tensor(0.00066604),tensor(0.00024529),tensor(-0.00079291),tensor(-0.00014187),tensor(-0.00099496),tensor(-0.00028764),tensor(-0.00189602),tensor(-0.00159386),tensor(-0.00152476),tensor(0.00102097)
55,tensor(0.00014665),tensor(0.00027602),tensor(0.00292050),tensor(-0.00012269),tensor(0.00085084),tensor(-0.00155597),tensor(-0.00196441),tensor(-0.00115197),tensor(-0.00120165),tensor(0.00053723),tensor(0.00010881),tensor(0.00268100),tensor(0.00226069),tensor(-0.00110563),tensor(-3.61195780e-05),tensor(-0.00092142),tensor(-0.00619451)
56,tensor(0.00088282),tensor(-0.00067154),tensor(-0.00131826),tensor(-0.00046148),tensor(-0.00150517),tensor(0.00066730),tensor(0.00223095),tensor(0.00123277),tensor(0.00113960),tensor(-0.00052038),tensor(-4.51010128e-05),tensor(-0.00096250),tensor(-0.00026317),tensor(0.00068942),tensor(-0.00220325),tensor(-0.00172883),tensor(0.00030572)
57,tensor(-0.00072398),tensor(-6.73385221e-05),tensor(4.87148718e-05),tensor(0.00174527),tensor(0.00130587),tensor(-0.00168739),tensor(-0.00215208),tensor(-0.00131965),tensor(-0.00114280),tensor(-0.00110901),tensor(-8.08091718e-05),tensor(0.00143543),tensor(-0.00143099),tensor(0.00163654),tensor(0.00225767),tensor(0.00402154),tensor(0.01186673)
58,tensor(0.00137817),tensor(0.00205362),tensor(0.00279208),tensor(-6.83684266e-05),tensor(-0.00094286),tensor(0.00282657),tensor(0.00172698),tensor(-0.00150631),tensor(-0.00105833),tensor(0.00071409),tensor(-0.00067026),tensor(-0.00068322),tensor(0.00324804),tensor(-0.00181368),tensor(-0.00159859),tensor(-0.00255790),tensor(-0.01091184)
59,tensor(0.00062210),tensor(-0.00146561),tensor(0.00179628),tensor(0.00011575),tensor(0.00107220),tensor(-0.00203533),tensor(-0.00181876),tensor(0.00067211),tensor(-0.00026188),tensor(-0.00077839),tensor(0.00019939),tensor(0.00255943),tensor(-0.00019756),tensor(-0.00214895),tensor(0.00074392),tensor(0.00172337),tensor(0.00488066)
60,tensor(0.00105076),tensor(0.00280709),tensor(-0.00158198),tensor(0.00162584),tensor(-0.00091853),tensor(0.00264168),tensor(-0.00147672),tensor(-0.00273266),tensor(-0.00212429),tensor(-0.00106990),tensor(-0.00144063),tensor(-0.00121353),tensor(0.00202735),tensor(0.00124470),tensor(-0.00044466),tensor(0.00155793),tensor(0.00878360)
61,tensor(-0.00018056),tensor(5.81147542e-05),tensor(0.00280468),tensor(-0.00114977),tensor(0.00089905),tensor(-0.00166952),tensor(0.00244057),tensor(0.00219263),tensor(0.00123501),tensor(-0.00064139),tensor(0.00109049),tensor(-0.00111875),tensor(-0.00061285),tensor(-0.00151241),tensor(-0.00118068),tensor(-0.00316370),tensor(-0.00241541)
62,tensor(0.00071433),tensor(-0.00099546),tensor(-0.00183794),tensor(0.00130740),tensor(-0.00132755),tensor(0.00177100),tensor(-0.00232369),tensor(-0.00234921),tensor(-0.00224826),tensor(0.00047474),tensor(-0.00104706),tensor(0.00159683),tensor(-0.00023446),tensor(-0.00113271),tensor(0.00021948),tensor(0.00172685),tensor(-0.00016100)
63,tensor(-8.72287346e-05),tensor(-0.00028246),tensor(0.00277318),tensor(-0.00050899),tensor(0.00166147),tensor(-0.00182182),tensor(0.00254316),tensor(0.00255361),tensor(0.00223582),tensor(-0.00049025),tensor(0.00109625),tensor(-0.00057820),tensor(0.00190087),tensor(0.00075185),tensor(-0.00021347),tensor(-0.00058472),tensor(0.00248390)
64,tensor(0.00134438),tensor(0.00058150),tensor(0.00117128),tensor(-0.00015406),tensor(-0.00101066),tensor(0.00175986),tensor(-0.00096011),tensor(-0.00235380),tensor(-0.00185913),tensor(-0.00116367),tensor(-0.00104898),tensor(0.00193198),tensor(-0.00036795),tensor(-1.86850848e-05),tensor(-0.00287618),tensor(-0.00314643),tensor(-0.00169617)
65,tensor(3.23244808e-06),tensor(-0.00026162),tensor(-0.00028890),tensor(0.00032198),tensor(0.00074531),tensor(-0.00153283),tensor(-0.00171287),tensor(0.00177408),tensor(0.00050347),tensor(0.00101286),tensor(0.00065179),tensor(-0.00065219),tensor(0.00194750),tensor(-0.00192696),tensor(-0.00098188),tensor(0.00037507),tensor(0.00711591)
66,tensor(0.00044398),tensor(0.00094300),tensor(-0.00037389),tensor(-6.21067738e-05),tensor(-0.00149783),tensor(0.00220987),tensor(0.00175787),tensor(-0.00161191),tensor(-0.00081272),tensor(-0.00084422),tensor(-0.00042420),tensor(0.00166588),tensor(-0.00088791),tensor(0.00194268),tensor(1.74179077e-05),tensor(-0.00181030),tensor(-0.00325254)
67,tensor(0.00060945),tensor(-0.00135661),tensor(0.00157943),tensor(0.00148719),tensor(0.00160046),tensor(-0.00168141),tensor(-0.00190081),tensor(0.00073150),tensor(-0.00041596),tensor(-0.00098252),tensor(-4.65886915e-05),tensor(-0.00067334),tensor(0.00279254),tensor(-0.00210975),tensor(0.00123113),tensor(0.00317639),tensor(0.00527497)
68,tensor(0.00119212),tensor(0.00215379),tensor(-0.00051546),tensor(-0.00013253),tensor(-0.00103053),tensor(0.00232981),tensor(0.00180228),tensor(-0.00178603),tensor(-0.00137383),tensor(0.00067316),tensor(-0.00054060),tensor(0.00218527),tensor(7.65503355e-05),tensor(-0.00102636),tensor(-0.00070544),tensor(0.00013503),tensor(-0.00197239)
69,tensor(-1.79196159e-05),tensor(0.00060455),tensor(0.00206032),tensor(0.00046142),tensor(-0.00148571),tensor(-0.00160786),tensor(-0.00178257),tensor(0.00171027),tensor(0.00095949),tensor(-0.00059960),tensor(0.00034713),tensor(-0.00121610),tensor(0.00103885),tensor(0.00067696),tensor(0.00011469),tensor(-0.00112773),tensor(-0.00223026)
